Value Bets,Value Players,ratio_bets_players
49437.799999999996,2842,1739.54257565095
117745.1,9021,1305.233344418579
141788.43,10591,1338.7633840052874
149945.1,9307,1611.1002471258194
134215.1,7689,1745.5468851606192
156782.90000000002,12034,1302.8328070467012
170232.7,9274,1835.5908992883333
163554.0,11458,1427.4218886367603
167312.68,10300,1624.3949514563105
145542.77,8930,1629.818253079507
172436.43,9010,1913.8338512763596
98505.7,6115,1610.886345053148
65772.29999999999,4147,1586.0212201591507
112685.40000000001,7109,1585.1090167393445
56124.899999999994,2934,1912.9141104294476
163825.0,12428,1318.1927904731251
94665.1,6312,1499.7639416983525
190887.58,12183,1566.8355905770336
138595.62,7694,1801.3467637119834
204065.58,10539,1936.2897808141188
214053.05,12512,1710.7820492327364
236926.8,14455,1639.0646835005189
125939.0,7346,1714.3887830111628
108348.79999999999,6866,1578.0483542091463
109110.71,6380,1710.1992163009406
146950.9,7518,1954.6541633413142
68014.5,4476,1519.5375335120643
126687.18,8986,1409.828399732918
116537.16,8677,1343.058199838654
150182.19999999998,12029,1248.5011222878043
119057.83,6155,1934.3270511779042
133532.19,6507,2052.1313969571233
76078.85,4223,1801.5356381719157
142923.8,8855,1614.0463015245623
141446.3,7860,1799.5712468193383
130846.4,9053,1445.3374571965094
170172.95,10907,1560.2177500687633
55400.7,3129,1770.5560882070947
117423.49,5974,1965.575661198527
186448.80000000002,11620,1604.5507745266782
105267.90000000001,8121,1296.2430735131143
179757.0,12414,1448.0183663605605
111388.5,6830,1630.8711566617862
86721.90000000001,5055,1715.5667655786353
122466.04,8960,1366.808482142857
181975.31,11611,1567.2664714494874
112729.84,5271,2138.6803263137926
172283.58,10974,1569.9250956806998
133387.67,9548,1397.0220988688732
88500.33,5090,1738.7098231827115
192460.96,9574,2010.2460831418423
107623.34,5085,2116.486529006883
141194.42,10162,1389.4353473725646
119279.34,5795,2058.3147540983605
79560.57,3717,2140.451170298628
134028.5,12448,1076.7071015424165
141984.4,9020,1574.1064301552105
136129.58,6512,2090.441953316953
81061.11,6205,1306.38372280419
184049.3,10551,1744.3777840962941
199761.94,11409,1750.9154176527304
117814.85,8122,1450.5645161290322
102050.59,4576,2230.1265297202794
117459.1,6872,1709.2418509895228
206821.19999999998,15390,1343.867446393762
170876.5,11199,1525.8192695776409
232804.59999999998,16662,1397.2188212699555
112322.70000000001,7217,1556.3627546071777
187724.59999999998,14098,1331.5690168818269
77430.5,5736,1349.9041143654115
173794.7,14285,1216.6237311865593
121501.08,7186,1690.802671861954
98437.2,4563,2157.2912557527943
137591.7,11371,1210.0228651833613
113252.8,6928,1634.7113163972288
159245.40000000002,11220,1419.299465240642
122806.86,8773,1399.8274250541433
90670.40000000001,6020,1506.1528239202657
111806.20000000001,9251,1208.5850178359096
114546.17,7080,1617.8837570621467
213231.16,11892,1793.0639085099226
146617.19999999998,9848,1488.8017871649063
103255.15,5735,1800.4385353095029
128806.6,10534,1222.7700778431747
100724.13,6485,1553.1862760215884
260323.98,14294,1821.211557296768
104869.34,5698,1840.4587574587574
100008.09999999999,5992,1669.027036048064
134409.84,7236,1857.5157545605307
215622.09999999998,9335,2309.8243170862343
90909.79999999999,6453,1408.799008213234
116157.0,5585,2079.8030438675023
161433.44,11085,1456.3233198015337
100864.0,6363,1585.1642307087852
185187.67,10444,1773.1488893144392
164196.63,6982,2351.713405900888
210499.85,9047,2326.736487233337
186525.66,11515,1619.8494138080764
190751.32,10163,1876.9194135589885
144281.82,7247,1990.917897060853
51407.700000000004,3032,1695.504617414248
94618.0,6166,1534.5118391177425
176181.4,12759,1380.8401912375577
107724.85,5444,1978.781227038942
171126.69999999998,10589,1616.0798942298609
136767.14,7790,1755.6757381258024
129978.92,7421,1751.5014149036517
65539.79999999999,4012,1633.594217347956
123475.20000000001,5142,2401.306884480747
109558.11,5856,1870.8693647540983
201696.23,12478,1616.4147299246674
78766.2,5625,1400.288
105827.78,6115,1730.6260016353228
117958.6,6575,1794.0471482889734
111473.75,6756,1649.9962995855537
128301.37,5595,2293.1433422698838
132815.1,7035,1887.9189765458425
147666.8,8731,1691.293093574619
126906.7,9909,1280.7215662529013
85526.18,4672,1830.6117294520548
213094.71,9866,2159.8896209203326
108106.82,5405,2000.1261794634597
183195.01,8932,2050.9965293327364
196627.5,11937,1647.210354360392
119939.59,6029,1989.3778404378836
100155.40000000001,6609,1515.4395521258891
130480.59999999999,7863,1659.4251557929542
119936.1,7523,1594.2589392529576
220070.58,12369,1779.210768857628
91914.91,6087,1510.0198784294398
197029.54,11314,1741.4666784514761
185971.73,9202,2020.9925016300804
110069.98,6874,1601.2508001163806
83440.0,4593,1816.6775527977356
131565.52,7214,1823.7527030773497
149226.8,11691,1276.42460011975
68209.2,3246,2101.3308687615527
81017.16,3707,2185.518208794173
82139.7,6486,1266.4153561517112
147595.40000000002,11086,1331.3674905285948
109788.38,6891,1593.214047308083
114712.09999999999,8132,1410.6259222823412
83008.2,6825,1216.2373626373626
107526.24,4904,2192.6231647634586
186787.36,11500,1624.237913043478
93359.5,6572,1420.5645161290322
121274.88,5805,2089.1452196382434
133946.2,8262,1621.2321471798596
116437.6,8103,1436.9690238183389
229266.45,12698,1805.53197353914
153725.1,8394,1831.3688348820588
82208.09999999999,3893,2111.690213203185
96000.3,7246,1324.8730333977367
106273.74,6286,1690.641743557111
183476.64,11462,1600.7384400628166
181493.29,10068,1802.6747119586812
115216.14,6285,1833.1923627684964
83647.54,5038,1660.3322747121872
132497.78,5745,2306.3147084421234
134018.08,8873,1510.4032458018708
97495.59999999999,7325,1330.9979522184299
178280.09,9239,1929.6470397229136
196499.0,13764,1427.630049404243
134158.23,5835,2299.1984575835477
213782.24,11847,1804.526377985988
115220.40000000001,8323,1384.3614081461012
75752.24,3689,2053.4627270262945
107242.29999999999,5311,2019.2487290529086
121818.74,8165,1491.9625229638702
184801.8,11549,1600.1541258983461
125604.15,6718,1869.6658231616552
124061.8,9797,1266.3243850158212
257958.80000000002,13676,1886.215267622112
141877.27,9193,1543.3185032089632
200736.04,12202,1645.1076872643828
92735.48,5282,1755.68875425975
113330.59999999999,5801,1953.6390277538353
118476.0,7489,1582.0002670583522
214461.63,12146,1765.697595916351
76554.4,5156,1484.7633824670286
154775.27,9543,1621.8722623912815
202346.7,11213,1804.5723713546777
231522.5,11176,2071.6043307086616
143805.5,11019,1305.0685180143387
150091.1,9684,1549.8874432052871
105363.6,7000,1505.1942857142858
128913.02,6080,2120.2799342105263
116211.20000000001,7850,1480.3974522292995
127573.70000000001,8785,1452.1764371087081
186051.8,11011,1689.6903096903095
81787.84,4810,1700.370893970894
208756.5,14589,1430.9171293440263
212712.0,15410,1380.3504218040234
81101.40000000001,5916,1370.8823529411766
125010.40000000001,9785,1277.571793561574
210572.2,12017,1752.2859282682866
141552.6,12196,1160.647753361758
100170.56,6355,1576.2479937057435
106479.62,6122,1739.294674942829
115818.5,7881,1469.5914224083238
125866.4,6440,1954.4472049689439
127666.8,10837,1178.0640398634307
116566.0,7343,1587.4438240501158
80987.6,4986,1624.3000401123147
190803.6,10052,1898.16553919618
122822.4,9257,1326.8056605811819
94524.4,4966,1903.4313330648408
121898.4,6008,2028.9347536617843
88693.4,5537,1601.8313165974353
82514.0,4307,1915.8114697004876
134178.5,8108,1654.8902318697583
224553.05,12291,1826.9713611585712
96742.25,5210,1856.8570057581574
115312.6,8742,1319.0642873484328
94349.51,5668,1664.599682427664
92414.5,6247,1479.3420842004161
136669.74,9344,1462.6470462328766
139525.40000000002,9796,1424.3099224173134
140256.5,9616,1458.5742512479203
201422.34,12171,1654.9366526990386
146024.9,8940,1633.3881431767338
95507.90000000001,4427,2157.395527445223
73407.70000000001,4277,1716.3362169745153
126238.95,6591,1915.323167956304
154828.5,10264,1508.4616134060796
98726.0,7117,1387.1856119151328
137943.93,9218,1496.4626817096982
141994.03,9732,1459.0426428277847
127238.33,7235,1758.65003455425
95521.38,6761,1412.8291672829464
116244.58,5415,2146.7143120960295
83549.02,4425,1888.1134463276837
190019.4,9526,1994.7449086710055
154724.4,8646,1789.5489243580848
137229.69999999998,8525,1609.732551319648
226199.58,13074,1730.148233134465
101725.59999999999,4085,2490.22276621787
123328.28,5957,2070.308544569414
